"(0,0)",6,6.793
"(0,1)",6,5.197
"(0,2)",6,6.185
"(0,3)",6,5.102
"(0,4)",6,4.986
"(0,5)",6,6.14
"(1,0)",6,5.197
"(1,1)",6,2.724
"(1,2)",6,4.86
"(1,3)",6,5.681
"(1,4)",6,4.74
"(1,5)",6,3.789
"(2,0)",6,3.789
"(2,1)",6,2.506
"(2,2)",6,2.723
"(2,3)",6,4.518
"(2,4)",6,5.611
"(2,5)",6,4.651
"(3,0)",6,2.49
"(3,1)",6,1.541
"(3,2)",6,1.722
"(3,3)",6,2.49
"(3,4)",6,4.463
"(3,5)",6,5.563
"(4,0)",6,1.42
"(4,1)",6,0.67
"(4,2)",6,0.747
"(4,3)",6,1.601
"(4,4)",6,2.47
"(4,5)",6,4.307
"(5,0)",6,0.515
"(5,1)",6,-0.022
"(5,2)",6,0.5
"(5,3)",6,1.3
"(5,4)",6,2.228
"(5,5)",6,3.182
"(0,0)",7,7.725
"(0,1)",7,6.124
"(0,2)",7,7.016
"(0,3)",7,5.926
"(0,4)",7,5.81
"(0,5)",7,6.965
"(1,0)",7,6.124
"(1,1)",7,3.634
"(1,2)",7,5.691
"(1,3)",7,6.452
"(1,4)",7,5.509
"(1,5)",7,4.613
"(2,0)",7,4.699
"(2,1)",7,3.383
"(2,2)",7,3.544
"(2,3)",7,5.285
"(2,4)",7,6.352
"(2,5)",7,5.382
"(3,0)",7,3.36
"(3,1)",7,2.362
"(3,2)",7,2.516
"(3,3)",7,3.229
"(3,4)",7,5.201
"(3,5)",7,6.293
"(4,0)",7,2.213
"(4,1)",7,1.387
"(4,2)",7,1.472
"(4,3)",7,2.335
"(4,4)",7,3.206
"(4,5)",7,5.037
"(5,0)",7,1.133
"(5,1)",7,0.363
"(5,2)",7,1.089
"(5,3)",7,1.982
"(5,4)",7,2.945
"(5,5)",7,3.907
"(0,0)",8,8.648
"(0,1)",8,7.044
"(0,2)",8,7.838
"(0,3)",8,6.742
"(0,4)",8,6.626
"(0,5)",8,7.781
"(1,0)",8,7.044
"(1,1)",8,4.545
"(1,2)",8,6.515
"(1,3)",8,7.22
"(1,4)",8,6.274
"(1,5)",8,5.429
"(2,0)",8,5.61
"(2,1)",8,4.275
"(2,2)",8,4.365
"(2,3)",8,6.049
"(2,4)",8,7.087
"(2,5)",8,6.106
"(3,0)",8,4.248
"(3,1)",8,3.221
"(3,2)",8,3.32
"(3,3)",8,3.962
"(3,4)",8,5.933
"(3,5)",8,7.016
"(4,0)",8,3.059
"(4,1)",8,2.187
"(4,2)",8,2.244
"(4,3)",8,3.066
"(4,4)",8,3.935
"(4,5)",8,5.76
"(5,0)",8,1.861
"(5,1)",8,0.929
"(5,2)",8,1.745
"(5,3)",8,2.685
"(5,4)",8,3.663
"(5,5)",8,4.628
"(0,0)",9,9.561
"(0,1)",9,7.956
"(0,2)",9,8.651
"(0,3)",9,7.55
"(0,4)",9,7.434
"(0,5)",9,8.589
"(1,0)",9,7.956
"(1,1)",9,5.452
"(1,2)",9,7.332
"(1,3)",9,7.984
"(1,4)",9,7.036
"(1,5)",9,6.237
"(2,0)",9,6.518
"(2,1)",9,5.172
"(2,2)",9,5.182
"(2,3)",9,6.812
"(2,4)",9,7.816
"(2,5)",9,6.822
"(3,0)",9,5.143
"(3,1)",9,4.095
"(3,2)",9,4.128
"(3,3)",9,4.707
"(3,4)",9,6.659
"(3,5)",9,7.731
"(4,0)",9,3.93
"(4,1)",9,3.03
"(4,2)",9,3.034
"(4,3)",9,3.791
"(4,4)",9,4.659
"(4,5)",9,6.476
"(5,0)",9,2.659
"(5,1)",9,1.618
"(5,2)",9,2.432
"(5,3)",9,3.393
"(5,4)",9,4.377
"(5,5)",9,5.343
"(0,0)",10,10.466
"(0,1)",10,8.86
"(0,2)",10,9.456
"(0,3)",10,8.35
"(0,4)",10,8.234
"(0,5)",10,9.389
"(1,0)",10,8.86
"(1,1)",10,6.353
"(1,2)",10,8.142
"(1,3)",10,8.745
"(1,4)",10,7.793
"(1,5)",10,7.037
"(2,0)",10,7.419
"(2,1)",10,6.067
"(2,2)",10,5.994
"(2,3)",10,7.57
"(2,4)",10,8.54
"(2,5)",10,7.533
"(3,0)",10,6.037
"(3,1)",10,4.974
"(3,2)",10,4.936
"(3,3)",10,5.463
"(3,4)",10,7.382
"(3,5)",10,8.44
"(4,0)",10,4.811
"(4,1)",10,3.893
"(4,2)",10,3.83
"(4,3)",10,4.525
"(4,4)",10,5.377
"(4,5)",10,7.185
"(5,0)",10,3.496
"(5,1)",10,2.386
"(5,2)",10,3.129
"(5,3)",10,4.099
"(5,4)",10,5.086
"(5,5)",10,6.051
"(0,0)",11,11.361
"(0,1)",11,9.755
"(0,2)",11,10.252
"(0,3)",11,9.141
"(0,4)",11,9.026
"(0,5)",11,10.18
"(1,0)",11,9.755
"(1,1)",11,7.247
"(1,2)",11,8.944
"(1,3)",11,9.502
"(1,4)",11,8.547
"(1,5)",11,7.829
"(2,0)",11,8.312
"(2,1)",11,6.957
"(2,2)",11,6.799
"(2,3)",11,8.325
"(2,4)",11,9.259
"(2,5)",11,8.256
"(3,0)",11,6.926
"(3,1)",11,5.852
"(3,2)",11,5.74
"(3,3)",11,6.215
"(3,4)",11,8.1
"(3,5)",11,9.141
"(4,0)",11,5.694
"(4,1)",11,4.761
"(4,2)",11,4.628
"(4,3)",11,5.267
"(4,4)",11,6.09
"(4,5)",11,7.888
"(5,0)",11,4.353
"(5,1)",11,3.202
"(5,2)",11,3.826
"(5,3)",11,4.8
"(5,4)",11,5.789
"(5,5)",11,6.753
"(0,0)",12,12.247
"(0,1)",12,10.641
"(0,2)",12,11.039
"(0,3)",12,9.925
"(0,4)",12,9.81
"(0,5)",12,10.964
"(1,0)",12,10.641
"(1,1)",12,8.132
"(1,2)",12,9.737
"(1,3)",12,10.255
"(1,4)",12,9.296
"(1,5)",12,8.613
"(2,0)",12,9.198
"(2,1)",12,7.84
"(2,2)",12,7.596
"(2,3)",12,9.076
"(2,4)",12,9.975
"(2,5)",12,8.973
"(3,0)",12,7.808
"(3,1)",12,6.724
"(3,2)",12,6.539
"(3,3)",12,6.964
"(3,4)",12,8.813
"(3,5)",12,9.838
"(4,0)",12,6.573
"(4,1)",12,5.629
"(4,2)",12,5.423
"(4,3)",12,6.007
"(4,4)",12,6.799
"(4,5)",12,8.584
"(5,0)",12,5.217
"(5,1)",12,4.041
"(5,2)",12,4.519
"(5,3)",12,5.495
"(5,4)",12,6.485
"(5,5)",12,7.449
"(0,0)",13,13.125
"(0,1)",13,11.518
"(0,2)",13,11.818
"(0,3)",13,10.701
"(0,4)",13,10.586
"(0,5)",13,11.74
"(1,0)",13,11.518
"(1,1)",13,9.009
"(1,2)",13,10.523
"(1,3)",13,11.003
"(1,4)",13,10.041
"(1,5)",13,9.389
"(2,0)",13,10.074
"(2,1)",13,8.715
"(2,2)",13,8.387
"(2,3)",13,9.822
"(2,4)",13,10.687
"(2,5)",13,9.687
"(3,0)",13,8.683
"(3,1)",13,7.59
"(3,2)",13,7.331
"(3,3)",13,7.708
"(3,4)",13,9.523
"(3,5)",13,10.53
"(4,0)",13,7.445
"(4,1)",13,6.493
"(4,2)",13,6.213
"(4,3)",13,6.743
"(4,4)",13,7.503
"(4,5)",13,9.275
"(5,0)",13,6.082
"(5,1)",13,4.892
"(5,2)",13,5.207
"(5,3)",13,6.184
"(5,4)",13,7.174
"(5,5)",13,8.138
"(0,0)",14,13.994
"(0,1)",14,12.387
"(0,2)",14,12.59
"(0,3)",14,11.469
"(0,4)",14,11.354
"(0,5)",14,12.509
"(1,0)",14,12.387
"(1,1)",14,9.877
"(1,2)",14,11.301
"(1,3)",14,11.746
"(1,4)",14,10.78
"(1,5)",14,10.157
"(2,0)",14,10.943
"(2,1)",14,9.582
"(2,2)",14,9.17
"(2,3)",14,10.563
"(2,4)",14,11.395
"(2,5)",14,10.396
"(3,0)",14,9.55
"(3,1)",14,8.451
"(3,2)",14,8.117
"(3,3)",14,8.447
"(3,4)",14,10.229
"(3,5)",14,11.217
"(4,0)",14,8.311
"(4,1)",14,7.351
"(4,2)",14,6.996
"(4,3)",14,7.475
"(4,4)",14,8.203
"(4,5)",14,9.961
"(5,0)",14,6.943
"(5,1)",14,5.746
"(5,2)",14,5.888
"(5,3)",14,6.867
"(5,4)",14,7.858
"(5,5)",14,8.821
"(0,0)",15,14.854
"(0,1)",15,13.247
"(0,2)",15,13.353
"(0,3)",15,12.229
"(0,4)",15,12.115
"(0,5)",15,13.269
"(1,0)",15,13.247
"(1,1)",15,10.737
"(1,2)",15,12.072
"(1,3)",15,12.484
"(1,4)",15,11.515
"(1,5)",15,10.918
