number of iterations required: 900
---utility for each state (row, column)---
(2, 55) - utility: 82.617
(2, 57) - utility: 79.695
(2, 58) - utility: 74.728
(2, 59) - utility: 67.708
(2, 60) - utility: 65.652
(2, 61) - utility: 67.296
(2, 62) - utility: 75.883
(2, 64) - utility: 78.657
(2, 65) - utility: 75.436
(2, 66) - utility: 73.600
(2, 67) - utility: 59.225
(2, 68) - utility: 54.748
(2, 69) - utility: 56.246
(2, 70) - utility: 59.154
(2, 71) - utility: 68.444
(2, 72) - utility: 73.059
(2, 74) - utility: 69.773
(2, 75) - utility: 69.652
(2, 76) - utility: 68.695
(2, 77) - utility: 68.904
(2, 80) - utility: 85.396
(2, 81) - utility: 83.815
(2, 83) - utility: 76.205
(2, 84) - utility: 74.188
(2, 85) - utility: 74.738
(2, 86) - utility: 76.251
(2, 87) - utility: 74.502
(2, 88) - utility: 73.355
(2, 89) - utility: 72.391
(2, 91) - utility: 55.507
(2, 92) - utility: 54.914
(2, 93) - utility: 52.125
(2, 94) - utility: 52.712
(2, 95) - utility: 49.579
(2, 96) - utility: 51.861
(2, 97) - utility: 50.293
(2, 98) - utility: 54.211
(2, 99) - utility: 52.850
(3, 0) - utility: 60.671
(3, 1) - utility: 67.207
(3, 2) - utility: 69.069
(3, 3) - utility: 71.254
(3, 4) - utility: 68.325
(3, 5) - utility: 54.739
(3, 6) - utility: 47.089
(3, 7) - utility: 50.795
(3, 8) - utility: 51.371
(3, 9) - utility: 51.136
(3, 10) - utility: 52.109
(3, 11) - utility: 65.026
(3, 12) - utility: 64.560
(3, 13) - utility: 65.480
(3, 14) - utility: 66.190
(3, 15) - utility: 63.488
(3, 16) - utility: 61.026
(3, 17) - utility: 59.325
(3, 18) - utility: 61.104
(3, 20) - utility: 66.830
(3, 21) - utility: 60.330
(3, 23) - utility: 69.272
(3, 24) - utility: 67.002
(3, 25) - utility: 65.129
(3, 26) - utility: 65.151
(3, 27) - utility: 63.330
(3, 28) - utility: 64.066
(3, 29) - utility: 60.377
(3, 30) - utility: 61.079
(3, 31) - utility: 59.363
(3, 32) - utility: 59.486
(3, 33) - utility: 67.027
(3, 34) - utility: 65.571
(3, 35) - utility: 64.739
(3, 37) - utility: 48.772
(3, 38) - utility: 48.081
(3, 39) - utility: 48.531
(3, 40) - utility: 47.677
(3, 41) - utility: 42.933
(3, 43) - utility: 39.224
(3, 44) - utility: 37.248
(3, 45) - utility: 40.803
(3, 46) - utility: 48.887
(3, 47) - utility: 51.841
(3, 48) - utility: 51.451
(3, 49) - utility: 52.644
(3, 50) - utility: 49.990
(3, 52) - utility: 75.842
(3, 53) - utility: 73.405
(3, 55) - utility: 84.822
(3, 56) - utility: 82.858
(3, 57) - utility: 81.373
(3, 58) - utility: 77.191
(3, 59) - utility: 67.993
(3, 60) - utility: 66.069
(3, 61) - utility: 67.329
(3, 62) - utility: 77.965
(3, 63) - utility: 80.620
(3, 64) - utility: 80.104
(3, 65) - utility: 77.479
(3, 66) - utility: 76.148
(3, 67) - utility: 58.786
(3, 68) - utility: 55.956
(3, 69) - utility: 55.517
(3, 71) - utility: 69.943
(3, 72) - utility: 74.609
(3, 73) - utility: 72.428
(3, 74) - utility: 70.720
(3, 75) - utility: 69.373
(3, 76) - utility: 68.240
(3, 77) - utility: 68.483
(3, 80) - utility: 83.922
(3, 81) - utility: 82.619
(3, 83) - utility: 77.471
(3, 84) - utility: 76.067
(3, 85) - utility: 75.612
(3, 86) - utility: 76.360
(3, 87) - utility: 75.418
(3, 88) - utility: 74.310
(3, 90) - utility: 50.795
(3, 91) - utility: 56.333
(3, 92) - utility: 55.933
(3, 93) - utility: 52.412
(3, 94) - utility: 53.894
(3, 96) - utility: 54.260
(3, 98) - utility: 56.819
(3, 99) - utility: 54.610
(4, 1) - utility: 67.377
(4, 2) - utility: 71.163
(4, 3) - utility: 72.843
(4, 4) - utility: 71.783
(4, 6) - utility: 47.527
(4, 7) - utility: 51.879
(4, 8) - utility: 52.172
(4, 9) - utility: 50.369
(4, 10) - utility: 51.325
(4, 11) - utility: 67.570
(4, 12) - utility: 66.465
(4, 13) - utility: 66.384
(4, 15) - utility: 62.998
(4, 16) - utility: 61.752
(4, 17) - utility: 59.690
(4, 18) - utility: 62.149
(4, 19) - utility: 60.787
(4, 20) - utility: 66.840
(4, 22) - utility: 72.052
(4, 23) - utility: 71.693
(4, 24) - utility: 69.062
(4, 25) - utility: 65.765
(4, 26) - utility: 64.942
(4, 27) - utility: 65.073
(4, 28) - utility: 64.166
(4, 29) - utility: 59.328
(4, 30) - utility: 60.891
(4, 31) - utility: 59.934
(4, 32) - utility: 60.572
(4, 33) - utility: 67.736
(4, 34) - utility: 66.372
(4, 36) - utility: 44.861
(4, 37) - utility: 50.737
(4, 38) - utility: 49.808
(4, 39) - utility: 48.761
(4, 40) - utility: 48.816
(4, 42) - utility: 45.308
(4, 43) - utility: 41.230
(4, 44) - utility: 37.077
(4, 46) - utility: 48.883
(4, 47) - utility: 52.964
(4, 48) - utility: 50.641
(4, 49) - utility: 53.840
(4, 50) - utility: 51.553
(4, 51) - utility: 54.880
(4, 53) - utility: 72.765
(4, 54) - utility: 84.166
(4, 55) - utility: 86.189
(4, 56) - utility: 83.895
(4, 57) - utility: 81.475
(4, 58) - utility: 77.531
(4, 60) - utility: 58.176
(4, 61) - utility: 67.058
(4, 62) - utility: 81.210
(4, 63) - utility: 82.085
(4, 64) - utility: 82.642
(4, 65) - utility: 78.346
(4, 67) - utility: 58.975
(4, 68) - utility: 56.414
(4, 69) - utility: 57.426
(4, 70) - utility: 59.425
(4, 71) - utility: 68.408
(4, 72) - utility: 76.458
(4, 73) - utility: 72.398
(4, 74) - utility: 65.551
(4, 75) - utility: 65.732
(4, 76) - utility: 70.192
(4, 77) - utility: 68.115
(4, 78) - utility: 61.498
(4, 80) - utility: 80.827
(4, 81) - utility: 79.748
(4, 82) - utility: 81.104
(4, 83) - utility: 78.675
(4, 84) - utility: 76.960
(4, 85) - utility: 76.467
(4, 86) - utility: 77.586
(4, 87) - utility: 76.442
(4, 89) - utility: -4.000
(4, 91) - utility: 57.837
(4, 92) - utility: 55.767
(4, 93) - utility: 52.500
(4, 94) - utility: 53.497
(4, 95) - utility: 52.951
(4, 96) - utility: 54.996
(4, 97) - utility: 57.893
(4, 98) - utility: 57.863
(4, 99) - utility: 56.287
(5, 1) - utility: 67.805
(5, 2) - utility: 73.588
(5, 4) - utility: 72.608
(5, 6) - utility: 48.846
(5, 7) - utility: 53.092
(5, 8) - utility: 53.144
(5, 11) - utility: 69.330
(5, 12) - utility: 67.227
(5, 13) - utility: 65.950
(5, 14) - utility: 65.670
(5, 15) - utility: 64.000
(5, 16) - utility: 62.685
(5, 19) - utility: 60.679
(5, 20) - utility: 68.491
(5, 22) - utility: 69.232
(5, 23) - utility: 68.385
(5, 24) - utility: 67.148
(5, 25) - utility: 66.337
(5, 26) - utility: 65.116
(5, 27) - utility: 64.341
(5, 28) - utility: 63.894
(5, 30) - utility: 60.712
(5, 31) - utility: 59.311
(5, 33) - utility: 68.395
(5, 34) - utility: 67.090
(5, 36) - utility: 45.955
(5, 37) - utility: 50.966
(5, 38) - utility: 50.503
(5, 39) - utility: 45.946
(5, 40) - utility: 45.222
(5, 41) - utility: 47.540
(5, 42) - utility: 46.441
(5, 43) - utility: 41.810
(5, 45) - utility: 44.726
(5, 46) - utility: 49.041
(5, 47) - utility: 53.171
(5, 49) - utility: 56.469
(5, 51) - utility: 56.039
(5, 52) - utility: 57.646
(5, 53) - utility: 69.376
(5, 54) - utility: 86.451
(5, 55) - utility: 87.867
(5, 56) - utility: 85.021
(5, 57) - utility: 70.853
(5, 58) - utility: 64.247
(5, 59) - utility: 59.275
(5, 60) - utility: 57.851
(5, 61) - utility: 67.297
(5, 62) - utility: 83.946
(5, 63) - utility: 84.424
(5, 64) - utility: 83.029
(5, 65) - utility: 78.849
(5, 66) - utility: 65.936
(5, 67) - utility: 60.090
(5, 68) - utility: 56.730
(5, 69) - utility: 58.079
(5, 70) - utility: 60.566
(5, 71) - utility: 69.440
(5, 72) - utility: 78.988
(5, 75) - utility: 66.078
(5, 76) - utility: 73.159
(5, 79) - utility: 82.209
(5, 80) - utility: 82.033
(5, 81) - utility: 81.713
(5, 82) - utility: 81.339
(5, 83) - utility: 79.630
(5, 84) - utility: 79.041
(5, 85) - utility: 77.282
(5, 88) - utility: 62.041
(5, 90) - utility: 57.666
(5, 91) - utility: 58.877
(5, 92) - utility: 56.672
(5, 93) - utility: 52.680
(5, 94) - utility: 54.417
(5, 95) - utility: 53.347
(5, 96) - utility: 55.635
(5, 97) - utility: 57.728
(5, 98) - utility: 58.838
(5, 99) - utility: 56.851
(6, 0) - utility: 61.979
(6, 1) - utility: 67.990
(6, 2) - utility: 75.291
(6, 3) - utility: 70.661
(6, 4) - utility: 73.576
(6, 6) - utility: 48.983
(6, 7) - utility: 54.338
(6, 8) - utility: 55.084
(6, 10) - utility: 71.994
(6, 11) - utility: 70.519
(6, 12) - utility: 68.024
(6, 13) - utility: 66.708
(6, 14) - utility: 66.724
(6, 15) - utility: 64.814
(6, 16) - utility: 63.363
(6, 17) - utility: 56.495
(6, 18) - utility: 55.740
(6, 19) - utility: 56.601
(6, 20) - utility: 70.384
(6, 21) - utility: 72.179
(6, 22) - utility: 70.263
(6, 23) - utility: 65.611
(6, 24) - utility: 67.993
(6, 25) - utility: 67.276
(6, 26) - utility: 67.145
(6, 27) - utility: 66.376
(6, 28) - utility: 64.695
(6, 29) - utility: 62.606
(6, 30) - utility: 61.705
(6, 31) - utility: 61.148
(6, 33) - utility: 65.864
(6, 34) - utility: 64.559
(6, 36) - utility: 47.172
(6, 37) - utility: 52.345
(6, 38) - utility: 50.390
(6, 39) - utility: 47.310
(6, 40) - utility: 45.464
(6, 41) - utility: 48.618
(6, 42) - utility: 48.732
(6, 45) - utility: 44.802
(6, 46) - utility: 49.734
(6, 47) - utility: 54.410
(6, 48) - utility: 54.191
(6, 49) - utility: 58.444
(6, 50) - utility: 58.678
(6, 51) - utility: 56.597
(6, 52) - utility: 57.159
(6, 53) - utility: 69.635
(6, 54) - utility: 89.551
