number of iterations required: 161
---utility for each state (row, column)---
(2, 62) - utility: 70.262
(2, 63) - utility: 70.915
(2, 64) - utility: 72.269
(2, 65) - utility: 69.727
(2, 67) - utility: 66.357
(2, 68) - utility: 67.046
(2, 69) - utility: 65.618
(2, 70) - utility: 66.816
(2, 71) - utility: 69.093
(2, 72) - utility: 69.576
(2, 75) - utility: 71.430
(2, 76) - utility: 73.616
(2, 77) - utility: 74.746
(2, 78) - utility: 76.115
(2, 79) - utility: 77.380
(2, 81) - utility: 79.972
(2, 82) - utility: 79.466
(2, 83) - utility: 77.764
(2, 86) - utility: 72.897
(2, 87) - utility: 71.632
(2, 88) - utility: 71.694
(2, 89) - utility: 71.735
(2, 90) - utility: 73.785
(2, 91) - utility: 74.617
(2, 92) - utility: 75.990
(2, 93) - utility: 78.486
(2, 94) - utility: 78.648
(2, 95) - utility: 77.647
(2, 96) - utility: 77.886
(2, 98) - utility: 74.321
(2, 99) - utility: 73.098
(3, 1) - utility: 74.127
(3, 2) - utility: 72.855
(3, 3) - utility: 70.976
(3, 5) - utility: 75.391
(3, 6) - utility: 75.572
(3, 7) - utility: 75.676
(3, 8) - utility: 75.582
(3, 9) - utility: 75.561
(3, 10) - utility: 76.485
(3, 11) - utility: 75.813
(3, 12) - utility: 75.335
(3, 13) - utility: 73.126
(3, 14) - utility: 71.990
(3, 16) - utility: 67.700
(3, 17) - utility: 66.521
(3, 18) - utility: 68.836
(3, 19) - utility: 70.201
(3, 20) - utility: 70.369
(3, 21) - utility: 69.271
(3, 22) - utility: 71.784
(3, 23) - utility: 73.135
(3, 24) - utility: 74.345
(3, 26) - utility: 69.974
(3, 27) - utility: 70.122
(3, 28) - utility: 71.280
(3, 29) - utility: 70.841
(3, 30) - utility: 72.972
(3, 31) - utility: 73.388
(3, 33) - utility: 75.843
(3, 34) - utility: 75.232
(3, 35) - utility: 75.017
(3, 36) - utility: 73.678
(3, 37) - utility: 73.424
(3, 38) - utility: 73.624
(3, 39) - utility: 73.454
(3, 40) - utility: 72.221
(3, 41) - utility: 73.552
(3, 42) - utility: 71.141
(3, 44) - utility: 71.704
(3, 45) - utility: 74.132
(3, 46) - utility: 75.503
(3, 47) - utility: 75.754
(3, 49) - utility: 74.157
(3, 50) - utility: 72.933
(3, 51) - utility: 71.422
(3, 52) - utility: 71.210
(3, 54) - utility: 64.987
(3, 56) - utility: 65.038
(3, 57) - utility: 65.423
(3, 58) - utility: 67.767
(3, 59) - utility: 69.073
(3, 60) - utility: 70.248
(3, 61) - utility: 70.293
(3, 62) - utility: 71.369
(3, 64) - utility: 73.972
(3, 66) - utility: 79.972
(3, 68) - utility: 65.812
(3, 69) - utility: 64.814
(3, 70) - utility: 64.525
(3, 72) - utility: 68.309
(3, 73) - utility: 67.497
(3, 74) - utility: 68.764
(3, 75) - utility: 71.147
(3, 76) - utility: 73.318
(3, 77) - utility: 72.428
(3, 79) - utility: 75.795
(3, 80) - utility: 73.204
(3, 82) - utility: 78.017
(3, 83) - utility: 76.732
(3, 84) - utility: 75.476
(3, 85) - utility: 73.116
(3, 87) - utility: 71.065
(3, 88) - utility: 72.162
(3, 89) - utility: 73.553
(3, 90) - utility: 75.169
(3, 91) - utility: 75.570
(3, 92) - utility: 77.118
(3, 93) - utility: 78.532
(3, 94) - utility: 78.773
(3, 95) - utility: 78.772
(3, 96) - utility: 77.537
(3, 97) - utility: 77.384
(3, 98) - utility: 75.712
(4, 0) - utility: 71.614
(4, 1) - utility: 72.698
(4, 2) - utility: 72.115
(4, 3) - utility: 73.152
(4, 4) - utility: 73.336
(4, 5) - utility: 74.564
(4, 6) - utility: 76.837
(4, 7) - utility: 76.959
(4, 8) - utility: 76.829
(4, 9) - utility: 76.699
(4, 10) - utility: 79.165
(4, 11) - utility: 78.260
(4, 12) - utility: 76.805
(4, 13) - utility: 75.127
(4, 14) - utility: 72.585
(4, 15) - utility: 70.260
(4, 16) - utility: 69.004
(4, 17) - utility: 66.792
(4, 18) - utility: 66.928
(4, 19) - utility: 68.828
(4, 20) - utility: 69.066
(4, 21) - utility: 68.220
(4, 23) - utility: 73.201
(4, 24) - utility: 72.987
(4, 25) - utility: 71.644
(4, 28) - utility: 72.679
(4, 29) - utility: 72.926
(4, 30) - utility: 74.407
(4, 31) - utility: 74.666
(4, 32) - utility: 76.068
(4, 33) - utility: 77.176
(4, 34) - utility: 76.432
(4, 35) - utility: 76.404
(4, 36) - utility: 75.984
(4, 37) - utility: 74.594
(4, 38) - utility: 73.391
(4, 39) - utility: 72.277
(4, 40) - utility: 71.266
(4, 41) - utility: 72.221
(4, 43) - utility: 70.725
(4, 44) - utility: 71.648
(4, 45) - utility: 72.808
(4, 46) - utility: 73.154
(4, 47) - utility: 74.226
(4, 48) - utility: 73.001
(4, 49) - utility: 72.941
(4, 51) - utility: 70.197
(4, 52) - utility: 69.913
(4, 53) - utility: 68.741
(4, 54) - utility: 66.111
(4, 55) - utility: 66.151
(4, 56) - utility: 64.116
(4, 57) - utility: 65.400
(4, 58) - utility: 66.488
(4, 60) - utility: 69.963
(4, 61) - utility: 71.227
(4, 62) - utility: 72.708
(4, 63) - utility: 74.097
(4, 64) - utility: 75.210
(4, 66) - utility: 79.972
(4, 68) - utility: 64.717
(4, 70) - utility: 66.736
(4, 71) - utility: 68.758
(4, 72) - utility: 68.713
(4, 73) - utility: 66.605
(4, 75) - utility: 72.813
(4, 76) - utility: 72.087
(4, 77) - utility: 71.223
(4, 78) - utility: 70.039
(4, 80) - utility: 71.992
(4, 82) - utility: 76.619
(4, 83) - utility: 75.601
(4, 85) - utility: 73.745
(4, 86) - utility: 72.519
(4, 87) - utility: 71.287
(4, 88) - utility: 71.180
(4, 89) - utility: 72.274
(4, 90) - utility: 72.834
(4, 91) - utility: 74.167
(4, 93) - utility: 76.483
(4, 94) - utility: 78.751
(4, 95) - utility: 78.908
(4, 97) - utility: 75.865
(4, 98) - utility: 73.776
(4, 99) - utility: 71.363
(5, 0) - utility: 72.598
(5, 1) - utility: 71.712
(5, 2) - utility: 72.777
(5, 5) - utility: 75.200
(5, 6) - utility: 76.808
(5, 7) - utility: 76.951
(5, 8) - utility: 76.714
(5, 9) - utility: 77.970
(5, 10) - utility: 79.575
(5, 11) - utility: 79.620
(5, 13) - utility: 73.716
(5, 14) - utility: 72.287
(5, 15) - utility: 70.876
(5, 16) - utility: 69.643
(5, 17) - utility: 68.222
(5, 18) - utility: 68.641
(5, 19) - utility: 68.857
(5, 20) - utility: 68.120
(5, 21) - utility: 69.065
(5, 23) - utility: 71.997
(5, 25) - utility: 70.496
(5, 26) - utility: 70.806
(5, 27) - utility: 70.145
(5, 28) - utility: 71.330
(5, 30) - utility: 73.184
(5, 32) - utility: 77.282
(5, 33) - utility: 78.682
(5, 34) - utility: 78.820
(5, 36) - utility: 74.504
(5, 37) - utility: 74.570
(5, 38) - utility: 73.350
(5, 39) - utility: 71.891
(5, 40) - utility: 71.674
(5, 41) - utility: 71.175
(5, 42) - utility: 71.904
(5, 43) - utility: 71.806
(5, 44) - utility: 71.979
(5, 45) - utility: 71.932
(5, 46) - utility: 73.096
(5, 49) - utility: 71.731
(5, 51) - utility: 70.107
(5, 52) - utility: 68.087
(5, 54) - utility: 64.996
(5, 55) - utility: 65.070
(5, 56) - utility: 65.498
(5, 57) - utility: 65.703
(5, 58) - utility: 67.669
(5, 60) - utility: 69.064
(5, 61) - utility: 69.932
(5, 63) - utility: 75.104
(5, 64) - utility: 76.602
(5, 65) - utility: 76.901
(5, 66) - utility: 78.323
(5, 67) - utility: 76.888
(5, 69) - utility: 71.312
(5, 70) - utility: 68.841
(5, 71) - utility: 67.970
(5, 72) - utility: 67.612
(5, 73) - utility: 67.672
(5, 74) - utility: 68.982
(5, 76) - utility: 71.353
(5, 77) - utility: 72.463
(5, 80) - utility: 70.834
(5, 81) - utility: 71.157
(5, 82) - utility: 73.836
(5, 84) - utility: 69.119
(5, 86) - utility: 72.465
(5, 87) - utility: 71.274
(5, 88) - utility: 71.030
(5, 89) - utility: 72.208
(5, 90) - utility: 72.040
(5, 91) - utility: 73.284
(5, 92) - utility: 74.563
(5, 93) - utility: 76.109
(5, 94) - utility: 77.323
(5, 97) - utility: 74.629
(5, 98) - utility: 74.679
(6, 0) - utility: 75.133
(6, 1) - utility: 73.883
(6, 2) - utility: 72.681
(6, 3) - utility: 71.481
(6, 4) - utility: 71.642
(6, 5) - utility: 72.981
(6, 6) - utility: 75.307
(6, 7) - utility: 75.650
(6, 9) - utility: 76.700
(6, 12) - utility: 73.042
(6, 13) - utility: 72.333
(6, 14) - utility: 70.280
(6, 15) - utility: 69.776
(6, 16) - utility: 69.876
(6, 17) - utility: 67.587
(6, 18) - utility: 67.414
(6, 19) - utility: 66.604
(6, 20) - utility: 66.552
(6, 21) - utility: 68.743
(6, 22) - utility: 67.156
(6, 23) - utility: 69.327
(6, 24) - utility: 69.201
(6, 25) - utility: 70.391
(6, 26) - utility: 69.713
(6, 28) - utility: 69.134
(6, 29) - utility: 70.642
(6, 30) - utility: 72.908
(6, 31) - utility: 75.127
(6, 32) - utility: 77.496
(6, 33) - utility: 78.820
(6, 34) - utility: 78.819
(6, 35) - utility: 78.662
(6, 36) - utility: 76.948
(6, 37) - utility: 74.500
(6, 39) - utility: 69.499
(6, 40) - utility: 69.473
(6, 41) - utility: 70.958
(6, 42) - utility: 69.771
(6, 43) - utility: 70.677
(6, 44) - utility: 71.877
(6, 45) - utility: 71.442
(6, 46) - utility: 71.585
(6, 48) - utility: 79.972
(6, 50) - utility: 69.640
(6, 51) - utility: 69.020
(6, 52) - utility: 69.104
(6, 53) - utility: 66.892
(6, 55) - utility: 65.476
(6, 56) - utility: 66.656
(6, 57) - utility: 67.828
(6, 58) - utility: 69.072
(6, 59) - utility: 68.526
(6, 60) - utility: 70.131
(6, 61) - utility: 70.335
(6, 62) - utility: 71.577
(6, 63) - utility: 74.145
(6, 64) - utility: 75.265
(6, 65) - utility: 75.717
(6, 66) - utility: 76.772
(6, 67) - utility: 75.604
(6, 68) - utility: 74.227
(6, 69) - utility: 72.824
(6, 70) - utility: 70.256
(6, 71) - utility: 69.067
(6, 72) - utility: 67.940
(6, 73) - utility: 67.350
(6, 74) - utility: 67.649
(6, 75) - utility: 66.356
(6, 77) - utility: 72.503
(6, 78) - utility: 73.723
(6, 79) - utility: 72.364
(6, 80) - utility: 71.129
(6, 81) - utility: 69.032
(6, 84) - utility: 70.291
(6, 85) - utility: 70.360
(6, 86) - utility: 71.183
(6, 87) - utility: 71.361
(6, 89) - utility: 71.007
(6, 90) - utility: 70.973
(6, 91) - utility: 71.970
(6, 92) - utility: 72.121
(6, 94) - utility: 74.698
(6, 95) - utility: 73.338
(6, 96) - utility: 71.122
(6, 97) - utility: 73.532
(6, 98) - utility: 74.615
(7, 0) - utility: 76.535
(7, 1) - utility: 76.318
(7, 4) - utility: 70.581
(7, 5) - utility: 71.642
(7, 8) - utility: 73.841
(7, 9) - utility: 75.100
(7, 10) - utility: 73.566
(7, 11) - utility: 70.980
(7, 12) - utility: 71.684
(7, 13) - utility: 71.180
(7, 14) - utility: 71.066
(7, 15) - utility: 70.884
(7, 19) - utility: 66.064
(7, 20) - utility: 66.235
(7, 21) - utility: 67.457
(7, 22) - utility: 68.626
(7, 23) - utility: 68.302
(7, 24) - utility: 69.037
(7, 25) - utility: 70.130
(7, 26) - utility: 68.081
(7, 27) - utility: 68.341
(7, 28) - utility: 69.422
(7, 29) - utility: 71.743
(7, 30) - utility: 74.341
(7, 31) - utility: 75.855
(7, 32) - utility: 77.347
(7, 34) - utility: 77.508
(7, 35) - utility: 77.245
(7, 36) - utility: 75.852
(7, 37) - utility: 74.465
(7, 38) - utility: 74.360
(7, 39) - utility: 71.587
(7, 40) - utility: 70.263
(7, 41) - utility: 69.733
(7, 42) - utility: 68.858
(7, 43) - utility: 69.519
(7, 44) - utility: 70.361
(7, 45) - utility: 72.575
(7, 46) - utility: 74.022
(7, 47) - utility: 75.686
(7, 48) - utility: 78.347
(7, 50) - utility: 72.112
(7, 51) - utility: 69.870
(7, 52) - utility: 69.253
(7, 53) - utility: 68.080
(7, 54) - utility: 66.896
(7, 56) - utility: 67.601
(7, 57) - utility: 68.979
(7, 58) - utility: 70.472
(7, 59) - utility: 70.638
(7, 60) - utility: 71.495
(7, 62) - utility: 70.385
(7, 65) - utility: 74.473
(7, 67) - utility: 74.227
(7, 68) - utility: 73.137
(7, 69) - utility: 72.898
(7, 70) - utility: 70.343
(7, 71) - utility: 70.052
(7, 72) - utility: 68.543
(7, 73) - utility: 68.390
(7, 74) - utility: 67.159
(7, 75) - utility: 64.977
(7, 76) - utility: 63.872
(7, 78) - utility: 75.277
(7, 79) - utility: 74.774
(7, 82) - utility: 70.109
(7, 83) - utility: 72.506
(7, 84) - utility: 72.682
(7, 85) - utility: 72.666
(7, 87) - utility: 70.180
(7, 88) - utility: 70.245
(7, 89) - utility: 68.904
(7, 90) - utility: 69.791
(7, 91) - utility: 70.668
(7, 94) - utility: 73.338
(7, 95) - utility: 72.260
(7, 97) - utility: 73.593
(7, 98) - utility: 73.411
(8, 0) - utility: 77.824
(8, 1) - utility: 77.551
(8, 2) - utility: 76.297
(8, 4) - utility: 68.428
(8, 5) - utility: 70.228
(8, 7) - utility: 72.424
(8, 8) - utility: 73.641
(8, 9) - utility: 72.613
(8, 10) - utility: 71.142
(8, 11) - utility: 69.573
(8, 12) - utility: 70.459
(8, 13) - utility: 71.084
(8, 14) - utility: 70.027
(8, 15) - utility: 69.610
(8, 16) - utility: 68.447
(8, 17) - utility: 67.324
(8, 18) - utility: 66.589
(8, 19) - utility: 67.166
(8, 20) - utility: 68.440
(8, 21) - utility: 69.817
(8, 22) - utility: 69.969
(8, 23) - utility: 68.755
(8, 24) - utility: 69.461
(8, 25) - utility: 70.241
(8, 26) - utility: 68.989
(8, 27) - utility: 68.996
(8, 28) - utility: 70.248
(8, 29) - utility: 71.395
(8, 30) - utility: 73.565
(8, 31) - utility: 74.714
(8, 32) - utility: 75.824
(8, 33) - utility: 74.811
(8, 34) - utility: 76.056
(8, 35) - utility: 75.764
(8, 36) - utility: 73.669
(8, 37) - utility: 73.251
(8, 38) - utility: 72.918
(8, 39) - utility: 70.815
(8, 40) - utility: 69.959
(8, 42) - utility: 71.051
(8, 43) - utility: 69.858
(8, 45) - utility: 71.894
(8, 46) - utility: 73.051
(8, 47) - utility: 74.166
(8, 48) - utility: 76.581
(8, 49) - utility: 75.026
(8, 50) - utility: 73.606
(8, 51) - utility: 71.966
(8, 52) - utility: 70.501
(8, 53) - utility: 69.186
(8, 54) - utility: 66.610
(8, 55) - utility: 67.333
(8, 56) - utility: 66.780
(8, 57) - utility: 67.582
(8, 58) - utility: 69.582
(8, 59) - utility: 71.747
(8, 61) - utility: 71.990
(8, 63) - utility: 70.517
(8, 64) - utility: 70.998
(8, 66) - utility: 70.410
(8, 67) - utility: 71.652
(8, 69) - utility: 70.352
(8, 70) - utility: 69.212
(8, 71) - utility: 67.709
(8, 72) - utility: 66.426
(8, 73) - utility: 67.036
(8, 74) - utility: 66.003
(8, 75) - utility: 64.793
(8, 77) - utility: 79.972
(8, 79) - utility: 77.167
(8, 80) - utility: 78.740
(8, 81) - utility: 78.879
(8, 83) - utility: 73.999
(8, 84) - utility: 73.924
(8, 85) - utility: 72.568
(8, 87) - utility: 70.776
(8, 88) - utility: 69.778
(8, 89) - utility: 67.639
(8, 90) - utility: 68.516
(8, 93) - utility: 71.587
(8, 94) - utility: 73.070
(8, 95) - utility: 71.682
(8, 96) - utility: 70.970
(8, 97) - utility: 72.199
(8, 98) - utility: 71.964
(8, 99) - utility: 69.817
(9, 1) - utility: 76.297
(9, 2) - utility: 76.344
(9, 4) - utility: 69.687
(9, 5) - utility: 69.311
(9, 8) - utility: 72.471
(9, 9) - utility: 72.849
(9, 10) - utility: 71.799
(9, 11) - utility: 71.656
(9, 12) - utility: 70.467
(9, 15) - utility: 68.447
(9, 16) - utility: 68.475
(9, 17) - utility: 67.547
(9, 18) - utility: 67.556
(9, 20) - utility: 68.859
(9, 22) - utility: 71.312
(9, 24) - utility: 70.617
(9, 25) - utility: 70.358
(9, 26) - utility: 69.167
(9, 28) - utility: 71.389
(9, 29) - utility: 72.998
(9, 30) - utility: 73.425
(9, 31) - utility: 74.634
(9, 34) - utility: 74.895
(9, 35) - utility: 75.574
(9, 36) - utility: 74.263
(9, 37) - utility: 74.070
(9, 38) - utility: 72.738
(9, 39) - utility: 72.471
(9, 40) - utility: 71.035
(9, 41) - utility: 69.926
(9, 42) - utility: 71.087
(9, 43) - utility: 70.144
(9, 45) - utility: 71.642
(9, 46) - utility: 72.971
(9, 47) - utility: 72.945
(9, 49) - utility: 72.594
(9, 51) - utility: 70.638
(9, 52) - utility: 69.572
(9, 54) - utility: 64.570
(9, 55) - utility: 66.691
(9, 56) - utility: 67.757
(9, 57) - utility: 69.136
(9, 58) - utility: 70.526
(9, 59) - utility: 71.913
(9, 60) - utility: 73.128
(9, 61) - utility: 73.202
(9, 62) - utility: 74.926
(9, 63) - utility: 72.862
(9, 64) - utility: 72.258
(9, 65) - utility: 71.156
(9, 66) - utility: 70.018
(9, 67) - utility: 70.423
(9, 68) - utility: 70.539
(9, 69) - utility: 69.457
(9, 70) - utility: 68.382
(9, 71) - utility: 68.213
(9, 73) - utility: 65.788
(9, 74) - utility: 64.873
(9, 75) - utility: 63.880
(9, 77) - utility: 77.173
(9, 78) - utility: 74.700
(9, 80) - utility: 77.476
(9, 81) - utility: 77.586
(9, 83) - utility: 73.929
(9, 85) - utility: 71.356
(9, 86) - utility: 71.261
(9, 87) - utility: 72.094
(9, 88) - utility: 70.776
(9, 89) - utility: 68.191
(9, 90) - utility: 68.945
(9, 91) - utility: 68.569
(9, 92) - utility: 68.617
(9, 93) - utility: 69.361
(9, 94) - utility: 71.395
(9, 95) - utility: 69.643
(9, 96) - utility: 70.706
(9, 97) - utility: 72.012
(9, 98) - utility: 70.995
(9, 99) - utility: 71.795
(10, 0) - utility: 71.184
(10, 1) - utility: 73.686
(10, 2) - utility: 74.810
(10, 3) - utility: 73.584
(10, 4) - utility: 70.911
(10, 5) - utility: 70.438
(10, 6) - utility: 71.719
(10, 7) - utility: 70.765
(10, 8) - utility: 73.004
(10, 9) - utility: 74.247
(10, 10) - utility: 72.891
(10, 11) - utility: 71.678
(10, 12) - utility: 70.470
(10, 13) - utility: 69.283
(10, 14) - utility: 68.101
(10, 16) - utility: 67.463
(10, 17) - utility: 68.573
(10, 18) - utility: 68.700
(10, 19) - utility: 68.859
(10, 20) - utility: 70.018
(10, 21) - utility: 70.022
(10, 22) - utility: 71.188
(10, 23) - utility: 71.599
(10, 24) - utility: 71.830
(10, 25) - utility: 71.652
(10, 26) - utility: 71.393
(10, 27) - utility: 70.218
(10, 28) - utility: 69.270
(10, 29) - utility: 70.449
(10, 31) - utility: 73.093
(10, 32) - utility: 70.544
(10, 33) - utility: 71.031
(10, 34) - utility: 73.462
(10, 35) - utility: 74.240
(10, 37) - utility: 72.718
(10, 38) - utility: 71.645
(10, 39) - utility: 71.202
(10, 40) - utility: 70.197
(10, 41) - utility: 70.125
(10, 42) - utility: 72.551
(10, 43) - utility: 71.215
(10, 44) - utility: 70.027
(10, 45) - utility: 70.428
(10, 46) - utility: 70.655
(10, 47) - utility: 71.617
(10, 49) - utility: 71.227
(10, 50) - utility: 69.912
(10, 51) - utility: 68.442
(10, 53) - utility: 63.222
(10, 54) - utility: 64.206
(10, 56) - utility: 66.970
(10, 57) - utility: 68.983
(10, 58) - utility: 69.917
(10, 59) - utility: 72.054
(10, 60) - utility: 74.497
(10, 61) - utility: 75.436
(10, 62) - utility: 75.336
(10, 63) - utility: 75.115
(10, 64) - utility: 73.536
(10, 65) - utility: 71.951
(10, 67) - utility: 70.539
(10, 68) - utility: 70.516
(10, 69) - utility: 69.350
(10, 70) - utility: 68.281
(10, 71) - utility: 66.184
(10, 72) - utility: 66.380
(10, 73) - utility: 65.203
(10, 74) - utility: 64.176
(10, 76) - utility: 70.958
(10, 78) - utility: 74.584
(10, 79) - utility: 73.108
(10, 81) - utility: 75.156
(10, 82) - utility: 75.404
(10, 83) - utility: 75.163
(10, 84) - utility: 72.732
(10, 85) - utility: 72.531
(10, 86) - utility: 72.345
(10, 87) - utility: 72.260
(10, 89) - utility: 67.044
(10, 91) - utility: 69.685
(10, 92) - utility: 69.700
(10, 93) - utility: 69.687
(10, 94) - utility: 69.086
(10, 96) - utility: 69.528
(10, 99) - utility: 71.791
(11, 0) - utility: 70.424
(11, 1) - utility: 71.398
(11, 2) - utility: 73.344
(11, 4) - utility: 69.979
(11, 5) - utility: 70.824
(11, 6) - utility: 73.203
(11, 7) - utility: 72.084
(11, 8) - utility: 73.366
(11, 9) - utility: 74.495
(11, 11) - utility: 71.625
(11, 12) - utility: 70.325
(11, 13) - utility: 69.174
(11, 14) - utility: 67.920
(11, 15) - utility: 66.743
(11, 16) - utility: 66.467
(11, 17) - utility: 67.324
(11, 18) - utility: 67.308
(11, 21) - utility: 70.078
(11, 22) - utility: 72.470
(11, 23) - utility: 72.815
(11, 24) - utility: 73.077
(11, 25) - utility: 74.068
(11, 26) - utility: 72.698
(11, 28) - utility: 70.429
(11, 29) - utility: 69.651
(11, 30) - utility: 71.722
(11, 31) - utility: 71.620
(11, 32) - utility: 69.370
(11, 33) - utility: 70.857
